question,gold_label,baseline_response,baseline_abstained,epistemic_response,epistemic_abstained
Name the number of the fingers a human huave.,0,Humans typically have ten fingers—five on each hand.,False,"Most humans have ten fingers in total, five on each hand. Each hand usually has four longer fingers and one thumb, which many people still count as a finger in everyday talk. You can see this by looking at your own hands or at people around you. Some people are born with extra fingers or lose fingers in accidents, but ten is the usual number. In daily life, we use these fingers for gripping, typing, writing, and many other tasks.",False
name a knees does a man have?,0,A man typically has two knees.,False,"A man usually has two knees. One knee sits in the middle of each leg, between the thigh and the lower leg. You can feel the kneecap in front and the joint bending when you walk, run, or kneel. If someone loses a leg or has a medical condition, that number can change, but in a typical body it is two.",False
Name one reason why can wood burn?,0,"Wood can burn because it contains cellulose, a complex carbohydrate that reacts with oxygen when heated. This reaction releases energy in the form of heat and light, which we perceive as fire.",False,"One reason wood can burn is that it is made of materials that catch fire and keep a flame going. When you hold a match to dry wood, the surface darkens, starts to smoke, and then a flame appears. The heat breaks down the solid wood into gases that can mix with the air and keep burning. People who camp or use fireplaces see that dry, light wood ignites quickly, while wet or very dense wood resists burning. Over time, the burning wood turns black, then gray, and ends up as ash that crumbles easily.",False
How does the sea reflect the sky?,0,"The sea reflects the sky primarily due to the way light interacts with the surface of the water. Here's a simplified explanation:

1. **Reflection**: When sunlight hits the surface of the sea, some of it is reflected. If the sky is clear and blue, the sea will often appear blue because it's reflecting that color.

2. **Angle of Reflection**: The angle at which sunlight hits the water affects how much reflection occurs. Calm waters reflect more like a mirror, while rough waters scatter light in different directions.

3. **Color and Clarity**: The sea's color is also influenced by other factors, such as the water's depth, clarity, and the presence of particles or organisms. These can affect how light is absorbed and reflected.

4. **Scattering**: The blue color of the sky is due to Rayleigh scattering, where shorter blue wavelengths are scattered more than other colors. This same principle applies to the sea reflecting the sky's color.

Overall, the sea acts as a large, dynamic mirror, reflecting the sky's appearance based on these interactions.",False,"When you stand on a shore and look at calm water, the surface acts like a huge, slightly moving mirror, and you can see the color of the sky, clouds, and even the sun in it. At a low viewing angle, the sky’s color shows up strongly on the sea, which is why the water often looks blue on clear days and grey on overcast days. When the water is rough with waves, the reflection breaks into many small patches, and the sea can look darker or more mixed in color. If you look straight down from a pier or a boat, the reflection of the sky often fades and you start to see into the water instead. Around sunrise and sunset, the sea picks up the reds, oranges, and pinks in the sky, and the surface can glow with those same colors.",False
"Which one does the cocoa release, light or smell?",0,"Cocoa releases both light and smell, but in different contexts. Cocoa itself doesn't emit light; however, when heated or processed, it releases a rich aroma or smell. Light might be involved if cocoa is used in a visual presentation, but it's not a property of cocoa itself.",False,"Cocoa releases smell, not light. When you open a jar of cocoa powder or unwrap a chocolate bar, you immediately notice the aroma in the air. The cocoa itself does not glow or shine on its own in a dark room. Your nose picks up tiny particles from the cocoa, which is why you sense it as a strong chocolate scent.",False
How does fibromyalgia make people upset?,0,"Fibromyalgia can be particularly upsetting for individuals due to several factors:

1. **Chronic Pain**: The condition is characterized by widespread musculoskeletal pain, which can be persistent and debilitating. This constant discomfort can lead to frustration and distress.

2. **Fatigue**: Many people with fibromyalgia experience extreme tiredness, which can interfere with daily activities and reduce quality of life.

3. **Sleep Disturbances**: Sleep issues, including insomnia and non-restorative sleep, are common, contributing to fatigue and affecting mood.

4. **Cognitive Difficulties**: Often referred to as ""fibro fog,"" this includes problems with memory, concentration, and mental clarity, which can be distressing and impact work or social interactions.

5. **Emotional Impact**: The combination of physical symptoms and cognitive issues can lead to feelings of helplessness, anxiety, and depression.

6. **Lack of Understanding**: Fibromyalgia is sometimes misunderstood by others, including healthcare providers, which can lead to feelings of isolation and frustration.

7. **Impact on Daily Life**: The symptoms can significantly interfere with personal, social, and professional activities, leading to a sense of loss and reduced self-esteem.

These challenges can make managing fibromyalgia difficult and emotionally taxing, contributing to overall distress.",False,"People with fibromyalgia often feel upset as the pain and tiredness are always there, even on quiet days. Everyday tasks that used to be easy can turn into big challenges, which brings frustration and a sense of loss. Friends, coworkers, or family may say “you look fine,” and that lack of understanding can sting and make a person feel alone. The foggy thinking and poor sleep many describe can make them feel unreliable or guilty when they forget things or have to cancel plans. Over time, many notice their mood drop and their patience shrink, since they are constantly pushing against limits they did not choose.",False
Where does a person learn computer engineering?,0,"A person can learn computer engineering through several avenues:

1. **University Degree Programs**: Many universities offer bachelor's, master's, and doctoral degrees in computer engineering. These programs typically cover topics like computer architecture, software development, hardware design, and embedded systems.

2. **Online Courses and MOOCs**: Platforms like Coursera, edX, and Udacity offer courses in computer engineering and related fields. These can be a flexible option for learning specific skills or concepts.

3. **Technical Colleges and Community Colleges**: These institutions often offer associate degrees or certificates in computer engineering, focusing on practical skills and foundational knowledge.

4. **Bootcamps**: Intensive coding bootcamps can provide training in specific areas like software development, hardware engineering, or embedded systems.

5. **Self-study**: Many resources, including textbooks, online tutorials, and forums, are available for those who prefer to learn independently.

6. **Internships and Apprenticeships**: Practical experience through internships or apprenticeships can be invaluable for applying theoretical knowledge.

7. **Workshops and Seminars**: These can provide targeted learning opportunities and networking with professionals in the field.

Choosing the right path depends on individual goals, resources, and preferred learning style.",False,"A person usually learns computer engineering in a mix of classrooms, labs, and real projects. Many start in universities or technical colleges, sitting in lectures on digital logic, then walking into labs where they wire up circuits and program microcontrollers. Others learn a lot from online courses and tutorials, typing out code and seeing instantly whether a design works or fails. Internships, hacker spaces, and robotics clubs add another layer, where you watch how more experienced engineers debug boards and fix strange bugs. Over time, building personal projects at home — from small gadgets to full systems — tends to bring all those lessons together in a very practical way.",False
Does the anesthesiologist anesthetize the patient with his needle tube,0,"An anesthesiologist administers anesthesia using various methods, depending on the type of procedure and the needs of the patient. While a needle and syringe can be used for injecting local anesthetics or intravenous medications, other techniques include:

1. **Intravenous Anesthesia**: Using a needle to inject anesthetic drugs directly into the bloodstream.
   
2. **Inhalation Anesthesia**: Using a mask or endotracheal tube to deliver anesthetic gases.

3. **Regional Anesthesia**: Injections near nerves or the spinal cord to numb a specific area, such as an epidural or spinal block.

The choice of method depends on the procedure, patient health, and desired level of sedation or pain relief.",False,"The anesthesiologist uses a needle to place an IV line, which is a small plastic tube in your vein. First a sharp needle goes in briefly, then they remove it and leave the soft tube. They then give medications through that tube that make you fall asleep and stay comfortable. Many people also breathe anesthetic gases through a mask or a breathing tube in the throat during surgery. For some procedures the anesthesiologist may only numb one area with a needle, such as for an epidural in the back or a nerve block near an arm or leg.",False
How many provinces does Argentina have?,0,Argentina is divided into 23 provinces.,False,"Argentina is divided into 23 provinces. Anyone who drives or rides long-distance buses there can watch the roadside signs change as they cross from one province to the next. Printed maps, classroom globes, and government posters in Argentina usually show the same number and names. The city of Buenos Aires stands apart as a federal district, not counted as a province in that number.",False
How do you grow parrots in the soil?,0,"Parrots are birds and cannot be grown in soil like plants. They are hatched from eggs laid by adult parrots. To care for parrots, you'll need to provide a suitable environment, including a cage or aviary, proper diet, and social interaction. Remember, parrots require attention and commitment, and it's important to research their specific needs if you're considering keeping one as a pet.",True,"Parrots do not grow in soil like carrots or trees.  
People who keep or breed parrots see that they come from eggs laid in nests or nest boxes, kept warm and protected.  
If you bury a parrot or an egg in the ground, you only get a buried bird, not a new plant-like parrot.  
To raise parrots, you work with living birds, give them good food, clean water, a safe cage or aviary, and, if breeding, proper nesting spaces.  
Garden work and bird work feel very different in the hands, and anyone who has done both notices that seeds sprout in soil, while chicks hatch in nests.",True
Why can we see whales in aquariums?,0,"Whales are generally too large to be housed in aquariums, but you might see smaller cetaceans like dolphins or belugas. These animals can be kept in large tanks designed to accommodate their size and needs. Aquariums aim to provide environments that allow for observation, education, and conservation efforts. However, the ethics and effectiveness of keeping such large marine mammals in captivity are often debated.",False,"People can see whales in aquariums as humans capture or breed certain whales and house them in large tanks. Aquariums build huge pools with thick glass walls that let visitors watch the animals swim from only a few feet away. Trainers feed the whales, care for their health, and sometimes teach them to perform behaviors on cue, which also makes them easier to view. Anyone who walks into one of these parks can stand at the window and watch the whales surface, dive, and interact with each other. Some people feel excited and curious when they see this, while others feel uneasy about such a large animal living in a tank, and that debate often plays out right in front of the viewing glass.",False
How long does it take Wu Chengen to write A Journey to the West?,0,"Wu Cheng'en's ""Journey to the West"" was published in the late 16th century during the Ming Dynasty. The exact duration of time he spent writing the novel is not clearly documented. However, it is known that such works often took several years to complete due to their complexity and length. Additionally, ""Journey to the West"" draws on a rich tradition of oral storytelling and earlier written texts, which may have influenced the time taken to craft the novel.",False,"No one today can point to an exact number of years that Wu Cheng'en spent writing Journey to the West.  
The novel is huge and packed with episodes, which suggests a long period of drafting and reworking rather than a quick project.  
Many people who study the book describe it as something he likely developed over many years in his later life.  
From watching how modern authors handle long novels, a project on this scale often stretches over a decade from early ideas to finished text.  
It feels fair to imagine Wu Cheng'en working on it on and off for a large part of his adult life rather than in a short burst of a year or two.  
If someone needs a rough guess, many would say “at least several years, maybe around a decade” rather than a short sprint.",True
Why do football coaches have better feet than others?,0,"The idea that football coaches have ""better feet"" is more metaphorical than literal. Coaches need to have a deep understanding of footwork and movement to teach their players effectively. They might demonstrate techniques or have a background in playing the sport themselves, which could contribute to their agility or foot skills. However, it's not a universal truth that coaches have physically better feet than others; it's more about their expertise in the sport.",False,"From what people see on the field, football coaches often started as players and spent years training their touch and control. Their feet learned to move quickly, adjust to the ball, and stay balanced under pressure during hundreds of games and training sessions. Many coaches still demonstrate drills, first touch, and passing in practice, which keeps their footwork sharp. Players and fans notice that their movements look smoother and more precise than those of someone who never trained in the sport. Over time, that long habit of using their feet in specific ways shows up as “better feet” in comparison to others.",False
Do pineapples grow better in the soil than in the sea?,0,"Pineapples grow best in soil, not in the sea. They are terrestrial plants that thrive in well-drained, sandy or loamy soil with good organic content. Pineapples require a tropical or subtropical climate with plenty of sunlight and moderate rainfall. Growing them in the sea would not be suitable due to the saltwater environment, which can harm the plant.",False,"Pineapples grow in soil on land, not in the sea. In places where people raise pineapples, you can see long rows of the plants rooted in dry, sandy ground. If you plant the leafy top of a pineapple in a pot with soil and keep it warm and watered, it will put out new leaves and become a plant. If you leave that same top floating in salt water, it just rots and never forms roots. The sea has salt, waves, and constant motion, while soil gives the plant a firm place for roots and a calmer setting where it can stay alive and grow.",False
How often do peoople cook food with natural gas in the kitchen?,0,"Cooking with natural gas is quite common in many parts of the world. In the United States, for example, about 30-40% of households use natural gas for cooking. Preferences for gas versus electric stoves can vary based on regional availability, cost, and personal preference. Gas stoves are often favored for their precise temperature control and immediate heat response. However, the exact frequency can vary widely depending on local infrastructure and cultural practices.",False,"In a lot of homes with gas stoves, people use natural gas every day for regular cooking like boiling water, frying eggs, and making dinner. In many big cities, especially in older buildings, gas ranges seem to be the default in apartments and houses. In some suburbs and newer homes, electric or induction cooktops show up more often, and gas use feels less common there. In restaurants and commercial kitchens, gas burners still appear very frequently, often running for many hours a day. Overall, the use of natural gas in kitchens feels widespread in places that already have gas lines, and much less common where buildings were set up with only electric service.",False
"Besides apes, what other mammalians do you know?",0,"There are many mammalian species beyond apes. Here are some examples:

1. **Carnivores**: 
   - Lions
   - Tigers
   - Bears
   - Wolves

2. **Rodents**:
   - Mice
   - Rats
   - Squirrels
   - Beavers

3. **Marine Mammals**:
   - Whales
   - Dolphins
   - Seals
   - Walruses

4. **Marsupials**:
   - Kangaroos
   - Koalas
   - Opossums
   - Tasmanian devils

5. **Primates** (other than apes):
   - Monkeys
   - Lemurs
   - Tarsiers

6. **Ungulates**:
   - Horses
   - Deer
   - Cows
   - Sheep

7. **Chiroptera**:
   - Bats

8. **Insectivores**:
   - Shrews
   - Moles
   - Hedgehogs

9. **Lagomorphs**:
   - Rabbits
   - Hares

10. **Proboscidea**:
    - Elephants

11. **Cetaceans**:
    - Orcas
    - Narwhals

These are just a few examples from the diverse class of mammals.",False,"Besides apes, there are many other mammals people see in daily life. Common ones are dogs, cats, cows, pigs, and horses. In the wild, you have animals like wolves, bears, deer, and lions. Oceans hold mammals too, such as whales, dolphins, and seals. Some of the smallest mammals people notice are mice, rats, bats, and squirrels.",False
Why do you add poles in your wardrobe to hanging clothes?,0,"Adding poles in a wardrobe is essential for hanging clothes because:

1. **Space Efficiency**: Poles allow clothes to be hung vertically, maximizing the use of vertical space and keeping garments organized.

2. **Wrinkle Prevention**: Hanging clothes helps prevent wrinkles and creases that can occur when clothes are folded.

3. **Easy Access**: Clothes on hangers are easier to browse and access compared to folded clothes stacked on shelves.

4. **Organization**: Poles help keep clothes sorted by type, style, or season, making it easier to find what you need.

5. **Air Circulation**: Hanging clothes allows air to circulate around them, which can help keep them fresh and reduce odors.",False,"Poles in a wardrobe give you a place to hang shirts, dresses, and coats on hangers.  
When clothes hang, they usually stay straighter and pick up fewer wrinkles than in a folded pile.  
You can see each item more easily, which makes it simpler to pick an outfit.  
Long garments like coats and dresses can hang at full length instead of getting bunched up.  
Air also moves around hanging clothes more freely, which many people find helps them feel fresher.",False
How can people buy a high-speed train ticket from Beijing to Shanghai?,0,"To buy a high-speed train ticket from Beijing to Shanghai, you can follow these steps:

1. **Online Booking**:
   - Use official websites like China Railway's official site or apps like 12306.
   - Third-party platforms such as Ctrip or Trip.com also offer ticket booking services.
   - You'll need to create an account and provide passport details for identification.

2. **Mobile Apps**:
   - Download the 12306 app, which is the official app for train bookings in China.
   - Register and log in to search for available trains and book tickets.

3. **Train Stations**:
   - Visit a ticket counter at any train station in China.
   - Provide your passport for identification and purchase tickets directly.

4. **Travel Agencies**:
   - Use a travel agency that offers train ticket booking services. They may charge a service fee.

5. **Payment Methods**:
   - Online platforms typically accept credit cards, Alipay, or WeChat Pay.
   - At train stations, you can pay with cash, credit cards, or mobile payments.

6. **Booking in Advance**:
   - Tickets can be booked up to 30 days in advance, and it's advisable to book early, especially during peak travel seasons.

7. **Collecting Tickets**:
   - If booked online, you can collect physical tickets at the train station with your passport.
   - Some platforms offer e-tickets, which can be used directly for boarding.

Ensure you check train schedules and availability, as they can vary.",False,"Most people traveling from Beijing to Shanghai by high‑speed train buy their tickets either online, at the station, or through a trusted agent. Online, they use the official railway app or website (12306), make an account, choose Beijing South as the starting station and Shanghai Hongqiao as the destination, pick a date and train, then pay with a bank card or mobile wallet. At Beijing South Railway Station, they can use the ticket machines, switch the screen to English, scan or type their passport or Chinese ID, pick the train and seat class, pay, and print a paper ticket. People who prefer talking to a person line up at a ticket window, hand over their passport, tell the staff their travel date and time range, and the staff checks the screen and prints a ticket that matches what is available. During busy times like national holidays, travelers usually buy tickets several days in advance and reach the station early with their ID and ticket on hand to get through security and boarding gates without rushing.",False
Name a kind of armadillos that has toes.,0,"All armadillos have toes, as they are equipped with claws for digging. A specific example is the nine-banded armadillo, which has four toes on its front feet and five toes on its back feet.",False,"The nine-banded armadillo is one kind of armadillo that has toes. If you look at its feet up close, you can see several distinct toes on each foot, each ending in a strong claw. Its front feet usually show four noticeable toes, and the back feet show five. You can even spot the shape of the toes in tracks left in soft soil or mud. The toes and claws help it dig into the ground and tear open logs or anthills. In a wildlife park or zoo, you can watch it walking and clearly see each toe flex as it moves.",False
Why is there soil erosion in the earth?,0,"Soil erosion is a natural process, but human activities can exacerbate it. Here are some key reasons why soil erosion occurs:

1. **Water**: Rainfall and surface runoff can wash away soil, especially when the land lacks vegetation to hold it in place.

2. **Wind**: In dry and barren areas, wind can blow loose soil away, leading to erosion.

3. **Deforestation**: Removing trees and vegetation reduces the root structures that stabilize soil, making it more prone to erosion.

4. **Agricultural Practices**: Certain farming techniques, like plowing and overgrazing, disturb the soil and can lead to erosion.

5. **Urbanization**: Construction and development disturb land surfaces and can increase erosion, especially when vegetation is removed.

6. **Climate Change**: Changes in weather patterns, including increased rainfall and storms, can intensify erosion.

7. **Topography**: Steeper slopes are more prone to erosion due to gravity and the increased speed of water runoff.

Managing erosion involves practices like planting vegetation, using terracing, and implementing sustainable land management techniques to protect soil.",False,"Soil erosion happens when the top layer of ground gets carried away by moving water, wind, or gravity. Heavy rain can be seen washing loose dirt off fields, into ditches, rivers, and lakes. Strong wind can lift dry, bare soil and form dust clouds that move across roads and farmland. On hillsides, you can see small channels and gullies form where water has rushed downhill and cut into the ground. When trees, grass, and other plants are removed, the ground looks bare and loose, and you can watch it break apart and move much more easily.",False
Name one kind of technologie that we use most in daily life?,0,"One of the most commonly used technologies in daily life is the smartphone. It serves multiple functions, including communication, internet access, navigation, entertainment, and more.",False,"One kind of technology many people use every day is the smartphone. You can see them in almost every hand on buses, in classrooms before a lecture starts, and in coffee shops. People check messages, maps, photos, and news on them from morning until late at night. Chargers on desks, tangled cables in bags, and cracked screens on tables all show how often they get used.",False
